Name,Unknotting,Genus,Bridge,Nakanishi,Tunnel,Symmetry type,Symmetry group,Montesinos?,Montesinos fractions,Kohno,Min num gen (Heegaard realizable)
3_1,1,1,2,1,1,reversible,Z2,N,['n/a'],1.5433619184268168,2
4_1,1,1,2,1,1,fully amphicheiral,D4,N,['n/a'],1.2360679774997898,2
5_1,2,2,2,1,1,reversible,Z2,N,['n/a'],0.3819660112501051,2
5_2,1,1,2,1,1,reversible,D2,N,['n/a'],0.8208301156455801,2
6_1,1,1,2,1,1,reversible,D2,N,['n/a'],1.433781046743485,2
6_2,1,2,2,1,1,reversible,D2,N,['n/a'],0.5895117958968009,2
6_3,1,2,2,1,1,fully amphicheiral,D4,N,['n/a'],0.1458980337503153,2
7_1,3,3,2,1,1,reversible,Z2,N,['n/a'],1.5433619184268166,2
7_2,1,1,2,1,1,reversible,D2,N,['n/a'],1.4337810467434855,2
7_3,2,2,2,1,1,reversible,D2,N,['n/a'],1.315100820755418,2
7_4,2,1,2,1,1,reversible,D4,N,['n/a'],1.5024494047228332,2
7_5,2,2,2,1,1,reversible,D2,N,['n/a'],1.0377930074215433,2
7_6,1,2,2,1,1,reversible,D2,N,['n/a'],0.8664735454725581,2
7_7,1,2,2,1,1,reversible,D4,N,['n/a'],1.344062682691781,2
8_1,1,1,2,1,1,reversible,D2,N,['n/a'],0.8208301156455792,2
8_2,2,3,2,1,1,reversible,D2,N,['n/a'],1.3151008207554173,2
8_3,2,1,2,1,1,fully amphicheiral,D4,N,['n/a'],0.14589803375031596,2
8_4,2,2,2,1,1,reversible,D2,N,['n/a'],1.1845894848015128,2
8_5,2,3,3,1,1,reversible,D2,Y,"['1/2', '1/3', '1/3']",1.0377930074215345,2
8_6,2,2,2,1,1,reversible,D2,N,['n/a'],0.6515661775710294,2
8_7,1,3,2,1,1,reversible,D2,N,['n/a'],1.4603911860367735,2
8_8,2,2,2,1,1,reversible,D2,N,['n/a'],0.9759111274880217,2
8_9,1,3,2,1,1,fully amphicheiral,D4,N,['n/a'],1.5278640450004213,2
8_10,2,3,3,1,1,reversible,D1,Y,"['1/2', '2/3', '1/3']",1.0742572562036026,2
8_11,1,2,2,1,1,reversible,D2,N,['n/a'],1.5924806635423243,2
8_12,2,2,2,1,1,fully amphicheiral,D4,N,['n/a'],0.7082039324993685,2
8_13,1,2,2,1,1,reversible,D2,N,['n/a'],1.486525056131561,2
8_14,1,2,2,1,1,reversible,D2,N,['n/a'],1.247910613789472,2
